"","purity"
"TCGA-AO-A03N-01B",0.747124109918354
"TCGA-E2-A1IU-01A",0.632498045854325
"TCGA-C8-A8HR-01A",0.445994445475037
"TCGA-AR-A2LN-01A",0.543492892925996
"TCGA-E9-A1QZ-01A",0.456434733616187
"TCGA-AQ-A04L-01B",0.807025324983203
"TCGA-AR-A1AL-01A",0.535094216941155
"TCGA-BH-A42T-01A",0.702733510431376
"TCGA-BH-A2L8-01A",0.498630234369854
"TCGA-A8-A075-01A",0.659586174511966
"TCGA-OL-A6VR-01A",0.752256104854797
"TCGA-D8-A1XJ-01A",0.678224858569051
"TCGA-BH-A5IZ-01A",0.653873345040345
"TCGA-A2-A0EP-01A",0.296830487146117
"TCGA-AR-A5QN-01A",0.57723675052815
"TCGA-E9-A244-01A",0.61164159798256
"TCGA-B6-A40C-01A",0.706447938740919
"TCGA-AR-A2LQ-01A",0.385246929696453
"TCGA-EW-A1J6-01A",0.746081034097272
"TCGA-EW-A1IZ-01A",0.471210961039742
"TCGA-AC-A2FG-01A",0.619652139705425
"TCGA-E9-A22B-01A",0.615312573063884
"TCGA-A2-A3XW-01A",0.318608706367372
"TCGA-AR-A1AJ-01A",0.467029404524393
"TCGA-A7-A4SA-01A",0.519606868180635
"TCGA-BH-A0BC-01A",0.6053903250271
"TCGA-D8-A27E-01A",0.488204249670215
"TCGA-JL-A3YW-01A",0.552535428161509
"TCGA-AC-A5EH-01A",0.583345212724655
"TCGA-A2-A0YL-01A",0.470025848909988
"TCGA-AR-A2LR-01A",0.747609574798857
"TCGA-E2-A1LK-01A",0.799680423690706
"TCGA-D8-A27V-01A",0.618459007451849
"TCGA-EW-A3U0-01A",0.537007327202762
"TCGA-A2-A4S2-01A",0.595062233546576
"TCGA-D8-A1XV-01A",0.825074279404333
"TCGA-BH-A1F0-01A",0.416707563004852
"TCGA-BH-A0BF-01A",0.550325902264549
"TCGA-E2-A15K-01A",0.710106500884004
"TCGA-E9-A228-01A",0.634911781006975
"TCGA-BH-A0HI-01A",0.673107302276688
"TCGA-LL-A9Q3-01A",0.653169927313044
"TCGA-BH-A0B6-01A",0.555943895855242
"TCGA-BH-A201-01A",0.593776701846051
"TCGA-A2-A3XU-01A",0.863762221843211
"TCGA-A1-A0SN-01A",0.61820620363609
"TCGA-B6-A1KF-01A",0.834764981514255
"TCGA-A2-A0YI-01A",0.565936892490874
"TCGA-AR-A1AN-01A",0.617838976226744
"TCGA-E9-A5UO-01A",0.871807713517449
"TCGA-AR-A2LM-01A",0.625150740527599
"TCGA-AR-A5QQ-01A",0.448993581028271
"TCGA-AR-A0TR-01A",0.825266313501286
"TCGA-BH-A1FC-01A",0.638152641786552
"TCGA-EW-A1P7-01A",0.391112341174617
"TCGA-AR-A1AP-01A",0.717620015368175
"TCGA-E9-A54X-01A",0.71179225574218
"TCGA-EW-A2FW-01A",0.818566490333174
"TCGA-HN-A2OB-01A",0.506356852962517
"TCGA-A2-A0T1-01A",0.468746577125886
"TCGA-AO-A1KP-01A",0.865526447127739
"TCGA-A2-A0YJ-01A",0.736035717514101
"TCGA-A7-A6VY-01A",0.613048734565698
"TCGA-EW-A6SC-01A",0.68110917718508
"TCGA-OL-A97C-01A",0.644011367432886
"TCGA-BH-A0RX-01A",0.400082521207604
"TCGA-D8-A1XB-01A",0.613275820191587
"TCGA-C8-A9FZ-01A",0.826428152222029
"TCGA-A2-A0ST-01A",0.372959726301054
"TCGA-LL-A6FR-01A",0.645472565149124
"TCGA-E9-A1NH-01A",0.643389477336306
"TCGA-B6-A0X5-01A",0.857726508704719
"TCGA-AC-A3W5-01A",0.618778507736405
"TCGA-BH-A0HB-01A",0.665568483652593
"TCGA-A2-A0T6-01A",0.587725510674743
"TCGA-AO-A1KO-01A",0.41542403885129
"TCGA-A2-A0T0-01A",0.598737102767804
"TCGA-E2-A573-01A",0.514110917230902
"TCGA-AN-A0XS-01A",0.672264966441979
"TCGA-EW-A3E8-01B",0.548227419374455
"TCGA-AC-A2FB-01A",0.438249151022565
"TCGA-EW-A2FS-01A",0.553014267266472
"TCGA-S3-A6ZG-01A",0.7455713117381
"TCGA-EW-A1P8-01A",0.583985027663108
"TCGA-AC-A8OP-01A",0.623119455866473
"TCGA-A7-A26I-01A",0.647461952736522
"TCGA-A2-A0T4-01A",0.541556243532249
"TCGA-AR-A24R-01A",0.674639451209663
"TCGA-E9-A3HO-01A",0.781419494225799
"TCGA-D8-A27K-01A",0.611411909117171
"TCGA-E9-A2JT-01A",0.311444770483108
"TCGA-GM-A2DK-01A",0.575362066882762
"TCGA-AR-A1AK-01A",0.596688709902725
"TCGA-E2-A1B5-01A",0.3934778681855
"TCGA-BH-A0BT-01A",0.810074811427835
"TCGA-E9-A54Y-01A",0.803564315915462
"TCGA-BH-A0HN-01A",0.845878761465248
"TCGA-E2-A9RU-01A",0.727882194098239
"TCGA-E2-A10C-01A",0.671116091422782
"TCGA-BH-A28O-01A",0.399544415987926
"TCGA-A7-A13E-01A",0.850220488765355
"TCGA-BH-A0W5-01A",0.494380877982645
"TCGA-GM-A2DD-01A",0.538051245283553
"TCGA-AN-A0XV-01A",0.635954376283865
"TCGA-E2-A1IL-01A",0.711355172434571
"TCGA-EW-A2FR-01A",0.506083419771922
"TCGA-3C-AAAU-01A",0.779675944412309
"TCGA-AR-A24W-01A",0.441604417521244
"TCGA-OL-A5RZ-01A",0.881168070913885
"TCGA-AR-A1AT-01A",0.57681344665997
"TCGA-AN-A0XL-01A",0.603296665409544
"TCGA-E9-A1RC-01A",0.830718249305566
"TCGA-D8-A27I-01A",0.447837368177463
"TCGA-PE-A5DC-01A",0.71241893704571
"TCGA-OL-A5D8-01A",0.768655479727965
"TCGA-A7-A26E-01A",0.681944018870062
"TCGA-D8-A1J9-01A",0.669805910403807
"TCGA-BH-A1EO-01A",0.660865009518996
"TCGA-A2-A0T5-01A",0.639759149433176
"TCGA-A7-A3IY-01A",0.511464885896031
"TCGA-A2-A0YF-01A",0.795030652495767
"TCGA-BH-A5J0-01A",0.683233926551636
"TCGA-E9-A245-01A",0.715737031384432
"TCGA-GM-A3NW-01A",0.692244888677834
"TCGA-A1-A0SB-01A",0.879859416690893
"TCGA-AC-A2QI-01A",0.633573250633192
"TCGA-PE-A5DE-01A",0.54971516329389
"TCGA-E9-A248-01A",0.465690072166658
"TCGA-AC-A2BK-01A",0.892219732581093
"TCGA-C8-A1HK-01A",0.784628404275561
"TCGA-E9-A1RF-01A",0.643173766952604
"TCGA-AR-A250-01A",0.692535771171612
"TCGA-A2-A0YT-01A",0.771265835410851
"TCGA-E9-A1R0-01A",0.560458346944856
"TCGA-AR-A1AW-01A",0.450004471039749
"TCGA-EW-A1IW-01A",0.570524151515823
"TCGA-A7-A3J1-01A",0.584657178377938
"TCGA-E9-A243-01A",0.450775561199169
"TCGA-AC-A4ZE-01A",0.785412615932196
"TCGA-D8-A1Y1-01A",0.651296683616824
"TCGA-E2-A108-01A",0.42879471628545
"TCGA-BH-A0E1-01A",0.767137318103475
"TCGA-AC-A3TN-01A",0.751109495464219
"TCGA-AO-A0JA-01A",0.682984103504144
"TCGA-E9-A229-01A",0.616123888733541
"TCGA-AO-A129-01A",0.526301478991
"TCGA-C8-A3M8-01A",0.666936666215846
"TCGA-LL-A5YO-01A",0.383168924302153
"TCGA-OL-A66L-01A",0.61469171170119
"TCGA-OL-A66K-01A",0.709277949557484
"TCGA-D8-A1JF-01A",0.626853830162114
"TCGA-GM-A2DM-01A",0.650795331909063
"TCGA-A7-A426-01A",0.555093527474077
"TCGA-AC-A2FO-01A",0.525484502797753
"TCGA-D8-A27L-01A",0.531207530078712
"TCGA-AC-A2FF-01A",0.423384617810706
"TCGA-GM-A2D9-01A",0.678719722884764
"TCGA-LL-A50Y-01A",0.726949290824238
"TCGA-LL-A6FP-01A",0.919747147346484
"TCGA-E9-A226-01A",0.583099242255153
"TCGA-C8-A1HJ-01A",0.74756718436848
"TCGA-D8-A27M-01A",0.515244665012148
"TCGA-A7-A56D-01A",0.645669908936704
"TCGA-AC-A3W6-01A",0.517245152816344
"TCGA-BH-A0BA-01A",0.692923849030252
"TCGA-EW-A1OX-01A",0.880274817942854
"TCGA-A2-A0CR-01A",0.433288719246353
"TCGA-E9-A5FL-01A",0.562901363043923
"TCGA-C8-A26X-01A",0.539647950410066
"TCGA-EW-A1J3-01A",0.736758984691705
"TCGA-A7-A4SF-01A",0.761557128933927
"TCGA-E2-A10B-01A",0.6867309784399
"TCGA-BH-A1FR-01A",0.684488605727237
"TCGA-B6-A0WW-01A",0.70641235240515
"TCGA-BH-A0W3-01A",0.807260897279964
"TCGA-BH-A0B5-01A",0.696492543776151
"TCGA-A2-A0YC-01A",0.703852576977321
"TCGA-E2-A574-01A",0.841814076384765
"TCGA-AN-A0XN-01A",0.627997924106095
"TCGA-AN-A0XW-01A",0.588934115843006
"TCGA-BH-A0HF-01A",0.615521610207759
"TCGA-AR-A2LO-01A",0.481324749830912
"TCGA-AC-A62Y-01A",0.638151086990198
"TCGA-A2-A25C-01A",0.640516207869375
"TCGA-BH-A0AZ-01A",0.628306523992877
"TCGA-E9-A227-01A",0.60414733359692
"TCGA-D8-A1XM-01A",0.590299437545187
"TCGA-D8-A1Y3-01A",0.699173142382061
"TCGA-C8-A275-01A",0.605394892923705
"TCGA-E2-A3DX-01A",0.469851340445112
"TCGA-C8-A1HM-01A",0.705019355746762
"TCGA-EW-A1PC-01B",0.877082693853749
"TCGA-AR-A0TP-01A",0.890782825172928
"TCGA-A7-A26F-01B",0.579993309423837
"TCGA-A2-A1FW-01A",0.875505376631611
"TCGA-A2-A0T2-01A",0.779259527893664
"TCGA-A7-A26H-01A",0.637591849907796
"TCGA-GM-A2DC-01A",0.698511762136239
"TCGA-A2-A3KC-01A",0.564268770809617
"TCGA-3C-AALI-01A",0.68401476568716
"TCGA-A2-A4RY-01A",0.420528180469951
"TCGA-E9-A1RI-01A",0.593571344174269
"TCGA-BH-A204-01A",0.85050235591278
"TCGA-D8-A27F-01A",0.717813590539514
"TCGA-LL-A7T0-01A",0.69826085548438
"TCGA-A2-A0T7-01A",0.56658403336715
"TCGA-D8-A1XT-01A",0.58362286794534
"TCGA-D8-A1Y2-01A",0.507150032878433
"TCGA-OL-A6VO-01A",0.67261261173382
"TCGA-A2-A3XY-01A",0.523494471401975
"TCGA-BH-A1ES-01A",0.76853035034653
"TCGA-A2-A0YK-01A",0.505896634340169
"TCGA-BH-A0B3-01A",0.588419204026126
"TCGA-JL-A3YX-01A",0.732893657562741
"TCGA-S3-AA17-01A",0.534737052803348
"TCGA-AQ-A04H-01B",0.778725825444003
